parameter,symbol,value,unit,status,primary_source,page_or_figure,supplementary_value,current_small_model_value,paper_matched_target,notes
benchmark_sequence,,single-edge-notched Mode-I first,,exact_from_text,THESIS_PLAN.md,WP2 and minimum benchmark progression,,,,Proposal route requires this benchmark before MISESERI.
geometry_width,W,1.0,mm,exact_from_figure,Molnar and Gravouil 2017,Fig. 6a,1.0,1.0,1.0,Supplementary extents parsed as x=-0.5..0.5.
geometry_height,H,1.0,mm,exact_from_figure,Molnar and Gravouil 2017,Fig. 6a,1.0,1.0,1.0,Supplementary extents parsed as y=-0.5..0.5.
notch_length,a,0.5,mm,exact_from_figure,Molnar and Gravouil 2017,Fig. 6a,0.5,0.5,0.5,Figure shows notch to mid-width.
loading_angle,alpha,90,deg,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2 and Fig. 6b,90,90,90,Pure tension case.
crack_direction,,horizontal ligament,,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2 and Fig. 6b,horizontal,horizontal,horizontal,Qualitative crack-path reference only until contour states are fixed.
bottom_boundary,,bottom fixed,,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,bottom vertical fixed plus x constraints,bottom vertical fixed plus x constraints,bottom fixed or source-traceable equivalent,Deck implementation must state any kinematic equivalence.
top_boundary,,top moved,,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,top tied to RP U2,top tied to RP U2,top moved or source-traceable equivalent,Exact coupling implementation remains a deck design choice to document.
plane_strain,,true,,exact_from_text,Molnar and Gravouil 2017,Sec. 3,true,true,true,All 2D cases are plane strain.
thickness,t,1.0,mm,exact_from_text,Molnar and Gravouil 2017,Sec. 3,1.0,1.0,1.0,Supplementary UEL and solid section also use 1.
youngs_modulus,E,210,kN/mm^2,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,210,210,210,
poissons_ratio,nu,0.3,,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,0.3,0.3,0.3,
critical_energy_release_rate,Gc,2.7e-3,kN/mm,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,0.0027,0.0027,0.0027,
residual_stiffness,k,1e-7,,exact_from_supplementary,SingleNotch.inp,"*Uel property, elset=PLATE_SS",1e-7,1e-7,1e-7,Paper defines k as small but does not give single-notch value.
umat_residual_constant,,1e-11,,exact_from_supplementary,SingleNotch.inp,"*User Material, constants=2",1e-11,1e-11,1e-11,Visualization UMAT material constant differs from UEL displacement-layer k.
primary_length_scale,lc,0.0075,mm,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,0.015,0.015,0.0075,Paper text target differs from smaller supplementary deck.
fig7_length_scale_curve_1,lc,0.015,mm,exact_from_figure,Molnar and Gravouil 2017,Fig. 7 legend,0.015,0.015,0.015 candidate,Black solid Molnar curve visible.
fig7_length_scale_curve_2,lc,0.0075,mm,exact_from_figure,Molnar and Gravouil 2017,Fig. 7 legend,,,"0.0075 first target",Red dashed Molnar curve visible.
fig7_length_scale_curve_3,lc,0.005,mm,exact_from_figure,Molnar and Gravouil 2017,Fig. 7 legend,,,0.005 candidate,Blue dotted Molnar curve visible.
mesh_physical_element_count,Nelem,22000,approx,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,3930,3930,22000 approximate,Exact count unresolved.
supplementary_layered_element_count,Nlayered,11790,elements,derived,SingleNotch.inp,three generated layers,11790,11790,null,Not a paper-matched target value.
local_element_size,h,0.001,mm,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,0.005,0.005,0.001,
h_over_l,h/l,0.133333,,derived,Molnar Sec. 3.2 h and lc,,0.333333,0.333333,0.133333,Derived for lc=0.0075 and h=0.001.
refined_zone_width,,null,mm,unresolved,Molnar and Gravouil 2017,Sec. 3.2,null,null,null,Text says refined around crack path but gives no dimensions.
refined_zone_height,,null,mm,unresolved,Molnar and Gravouil 2017,Sec. 3.2,null,null,null,Text says refined around crack path but gives no dimensions.
global_element_size,,null,mm,unresolved,Molnar and Gravouil 2017,Sec. 3.2,null,null,null,Not stated.
mesh_transition_law,,null,,unresolved,Molnar and Gravouil 2017,Sec. 3.2,null,null,null,Not stated for single-edge-notch case.
tensile_coarse_increment,Delta_u,1e-4,mm,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,0.001 time increment with amplitude,0.001 time increment with amplitude,1e-4 for 500 steps,Abaqus step representation still to define.
tensile_coarse_steps,,500,steps,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,500 increments in Step-1,500 increments in Step-1,500,
tensile_fine_increment,Delta_u,1e-5,mm,exact_from_text,Molnar and Gravouil 2017,Sec. 3.2,0.0001 time increment with amplitude,0.0001 time increment with amplitude,1e-5,Number of fine steps unresolved.
step_termination_displacement,u_final,null,mm,unresolved,Molnar and Gravouil 2017,Fig. 7 axis,0.01 deck target but local run stopped earlier,0.007 extracted final state,null,Figure axis approaches 0.007 but exact termination is not textual.
uel_phase_layer,,U1 four-node phase layer,,exact_from_supplementary,SingleNotch.inp,"*User element, type=U1",U1,U1,U1 with updated N_ELEM,Appendix B defines layer mechanics.
